0,1
IAM_Words\f02\f02-076\f02-076-02-09.png,which
IAM_Words\d04\d04-053\d04-053-07-04.png,not
IAM_Words\d06\d06-046\d06-046-08-05.png,at
IAM_Words\n04\n04-015\n04-015-06-07.png,school
IAM_Words\g06\g06-011l\g06-011l-03-01.png,is
IAM_Words\d01\d01-123\d01-123-05-05.png,single-sheet
IAM_Words\g05\g05-094\g05-094-05-07.png,German
IAM_Words\b01\b01-038\b01-038-05-06.png,have
IAM_Words\r06\r06-003\r06-003-00-04.png,is
IAM_Words\m06\m06-106\m06-106-05-04.png,died
IAM_Words\n04\n04-044\n04-044-02-03.png,second
IAM_Words\b06\b06-023\b06-023-03-05.png,attack
IAM_Words\b02\b02-013\b02-013-04-07.png,West
IAM_Words\m02\m02-066\m02-066-00-09.png,by
IAM_Words\g06\g06-018n\g06-018n-06-00.png,this
IAM_Words\g06\g06-042d\g06-042d-03-00.png,on
IAM_Words\e01\e01-062\e01-062-04-02.png,reasonably
IAM_Words\g06\g06-037l\g06-037l-06-07.png,he
IAM_Words\g06\g06-037p\g06-037p-00-01.png,grant
IAM_Words\a04\a04-043\a04-043-02-00.png,implication
IAM_Words\g06\g06-011a\g06-011a-04-01.png,a
IAM_Words\n04\n04-000\n04-000-02-02.png,""""
IAM_Words\c06\c06-005\c06-005-00-07.png,hallway
IAM_Words\j07\j07-015\j07-015-06-07.png,.
IAM_Words\c03\c03-007e\c03-007e-07-01.png,memory
IAM_Words\l04\l04-082\l04-082-01-01.png,he
IAM_Words\g06\g06-101\g06-101-04-08.png,it
IAM_Words\g04\g04-048\g04-048-00-03.png,the
IAM_Words\d06\d06-027\d06-027-01-05.png,whose
IAM_Words\l01\l01-111\l01-111-00-05.png,was
IAM_Words\b05\b05-083\b05-083-03-08.png,their
IAM_Words\a01\a01-003\a01-003-01-03.png,Labour
IAM_Words\g06\g06-050k\g06-050k-01-03.png,","
IAM_Words\g06\g06-031k\g06-031k-02-07.png,be
IAM_Words\l07\l07-138\l07-138-02-03.png,after
IAM_Words\d06\d06-091\d06-091-09-00.png,us
IAM_Words\b01\b01-023\b01-023-02-05.png,world
IAM_Words\k04\k04-039\k04-039-03-11.png,man
IAM_Words\l01\l01-050\l01-050-04-04.png,that
IAM_Words\d06\d06-046\d06-046-05-07.png,bring
IAM_Words\k07\k07-077\k07-077-01-07.png,?
IAM_Words\b05\b05-062\b05-062-03-01.png,:
IAM_Words\g06\g06-026o\g06-026o-07-04.png,of
IAM_Words\p06\p06-248\p06-248-04-04.png,the
IAM_Words\m04\m04-007\m04-007-00-09.png,","
IAM_Words\p03\p03-047\p03-047-02-10.png,anyway
IAM_Words\c03\c03-000f\c03-000f-05-04.png,script
IAM_Words\f04\f04-016\f04-016-05-06.png,able
IAM_Words\r06\r06-115\r06-115-09-06.png,was
IAM_Words\k04\k04-136\k04-136-02-10.png,called
IAM_Words\c03\c03-094e\c03-094e-01-01.png,pushing
IAM_Words\a01\a01-117u\a01-117u-10-08.png,per
IAM_Words\m02\m02-080\m02-080-05-06.png,banged
IAM_Words\g06\g06-047a\g06-047a-01-04.png,a
IAM_Words\l04\l04-136\l04-136-04-01.png,intention
IAM_Words\g06\g06-042j\g06-042j-00-11.png,","
IAM_Words\f02\f02-000\f02-000-02-06.png,excluding
IAM_Words\l04\l04-136\l04-136-02-00.png,death
IAM_Words\b04\b04-202\b04-202-04-05.png,15
IAM_Words\g06\g06-042p\g06-042p-03-05.png,death
IAM_Words\h07\h07-037\h07-037-03-03.png,some
IAM_Words\m02\m02-087\m02-087-04-04.png,suspected
IAM_Words\f07\f07-032a\f07-032a-03-04.png,grosser
IAM_Words\g06\g06-042a\g06-042a-05-03.png,had
IAM_Words\g06\g06-011c\g06-011c-08-00.png,soldier
IAM_Words\b01\b01-118\b01-118-01-00.png,tinue
IAM_Words\a01\a01-049u\a01-049u-03-02.png,""""
IAM_Words\d06\d06-060\d06-060-05-05.png,comes
IAM_Words\g06\g06-047e\g06-047e-01-13.png,God
IAM_Words\d01\d01-060\d01-060-02-05.png,text
IAM_Words\e07\e07-083\e07-083-10-07.png,.
IAM_Words\l01\l01-173\l01-173-02-05.png,I
IAM_Words\b01\b01-079\b01-079-07-00.png,it
IAM_Words\c03\c03-007a\c03-007a-00-07.png,has
IAM_Words\g01\g01-037\g01-037-05-02.png,had
IAM_Words\l01\l01-082\l01-082-04-06.png,wrong
IAM_Words\f04\f04-039\f04-039-07-06.png,a
IAM_Words\c04\c04-017\c04-017-05-09.png,of
IAM_Words\g06\g06-031g\g06-031g-01-07.png,but
IAM_Words\a02\a02-004\a02-004-08-02.png,Prime
IAM_Words\r06\r06-057\r06-057-08-01.png,limpets
IAM_Words\c04\c04-150\c04-150-02-08.png,with
IAM_Words\a06\a06-008\a06-008-01-07.png,such
IAM_Words\g03\g03-040\g03-040-05-02.png,.
IAM_Words\a05\a05-029\a05-029-00-02.png,is
IAM_Words\h06\h06-003\h06-003-01-10.png,over
IAM_Words\e06\e06-041\e06-041-09-02.png,inwards
IAM_Words\b05\b05-062\b05-062-01-09.png,He
IAM_Words\f07\f07-016\f07-016-10-06.png,from
IAM_Words\d07\d07-089\d07-089-03-00.png,by
IAM_Words\g03\g03-040\g03-040-04-06.png,Hotel
IAM_Words\g06\g06-031a\g06-031a-06-03.png,","
IAM_Words\f07\f07-076a\f07-076a-02-03.png,to
IAM_Words\c03\c03-021d\c03-021d-00-01.png,Fanny
IAM_Words\e04\e04-058\e04-058-01-03.png,make
IAM_Words\a01\a01-117u\a01-117u-06-02.png,Mr.
IAM_Words\p03\p03-012\p03-012-04-02.png,Liverpool
IAM_Words\f07\f07-021b\f07-021b-07-01.png,him
IAM_Words\h07\h07-078\h07-078-01-08.png,partly
IAM_Words\m04\m04-012\m04-012-09-01.png,schoolteacher
IAM_Words\a05\a05-004\a05-004-02-05.png,for
IAM_Words\n06\n06-201\n06-201-05-07.png,'ll
IAM_Words\g06\g06-031j\g06-031j-05-03.png,the
IAM_Words\a03\a03-073\a03-073-10-02.png,Veronique
IAM_Words\l07\l07-085\l07-085-07-01.png,mind
IAM_Words\a06\a06-124\a06-124-02-09.png,in
IAM_Words\g04\g04-003\g04-003-07-04.png,we
IAM_Words\n01\n01-036\n01-036-02-05.png,angular
IAM_Words\h07\h07-069\h07-069-01-03.png,something
IAM_Words\c04\c04-098\c04-098-05-06.png,like
IAM_Words\m02\m02-059\m02-059-02-02.png,a
IAM_Words\g06\g06-018f\g06-018f-03-10.png,has
IAM_Words\b05\b05-098\b05-098-03-04.png,be
IAM_Words\g06\g06-045c\g06-045c-06-01.png,founder
IAM_Words\b02\b02-045\b02-045-04-04.png,ever
IAM_Words\g06\g06-037g\g06-037g-02-02.png,express
IAM_Words\g06\g06-045o\g06-045o-06-03.png,being
IAM_Words\f03\f03-191\f03-191-06-01.png,way
IAM_Words\h01\h01-024\h01-024-00-05.png,housing
IAM_Words\c03\c03-087c\c03-087c-04-02.png,.
IAM_Words\a04\a04-085\a04-085-01-05.png,a
IAM_Words\e01\e01-092\e01-092-05-00.png,preserves
IAM_Words\a04\a04-000\a04-000-03-02.png,Whitehall
IAM_Words\k04\k04-050\k04-050-05-01.png,to
IAM_Words\r06\r06-003\r06-003-00-09.png,the
IAM_Words\n04\n04-068\n04-068-07-06.png,mock
IAM_Words\f04\f04-096\f04-096-08-03.png,.
IAM_Words\b02\b02-097\b02-097-04-02.png,them
IAM_Words\g04\g04-011\g04-011-01-00.png,work
IAM_Words\r06\r06-143\r06-143-01-03.png,.
IAM_Words\a03\a03-023\a03-023-07-04.png,the
IAM_Words\c03\c03-000b\c03-000b-04-02.png,of
IAM_Words\h07\h07-069\h07-069-01-02.png,at
IAM_Words\a02\a02-078\a02-078-06-05.png,1959
IAM_Words\c03\c03-003e\c03-003e-00-10.png,con-
IAM_Words\g06\g06-047p\g06-047p-00-00.png,This
IAM_Words\d04\d04-081\d04-081-05-09.png,we
IAM_Words\l03\l03-000\l03-000-00-04.png,of
IAM_Words\g04\g04-092\g04-092-02-06.png,any
IAM_Words\e07\e07-012\e07-012-07-04.png,.
IAM_Words\l07\l07-181\l07-181-06-03.png,up
IAM_Words\n03\n03-097\n03-097-04-01.png,eyes
IAM_Words\a05\a05-099\a05-099-05-08.png,with
IAM_Words\m03\m03-110\m03-110-01-05.png,same
IAM_Words\g06\g06-026i\g06-026i-03-08.png,of
IAM_Words\b01\b01-004\b01-004-06-04.png,that
IAM_Words\m02\m02-048\m02-048-04-01.png,arranged
IAM_Words\b05\b05-038\b05-038-03-07.png,has
IAM_Words\k03\k03-152\k03-152-04-05.png,to
IAM_Words\k02\k02-117\k02-117-01-04.png,to
IAM_Words\j06\j06-022\j06-022-04-05.png,","
IAM_Words\l04\l04-082\l04-082-05-01.png,which
IAM_Words\d01\d01-049\d01-049-03-04.png,effected
IAM_Words\e07\e07-098\e07-098-03-01.png,to
IAM_Words\g01\g01-022\g01-022-03-04.png,THE
IAM_Words\b01\b01-136\b01-136-07-00.png,about
IAM_Words\c03\c03-096a\c03-096a-06-04.png,their
IAM_Words\r02\r02-000\r02-000-02-00.png,self-employed
IAM_Words\h04\h04-057\h04-057-07-05.png,Most
IAM_Words\n03\n03-038\n03-038-04-07.png,it
IAM_Words\h07\h07-078\h07-078-00-07.png,the
IAM_Words\a04\a04-096\a04-096-03-02.png,the
IAM_Words\h01\h01-018\h01-018-02-02.png,and
IAM_Words\c03\c03-081b\c03-081b-00-05.png,committed
IAM_Words\g06\g06-042i\g06-042i-01-11.png,.
IAM_Words\b06\b06-053\b06-053-09-02.png,dominance
IAM_Words\k07\k07-059a\k07-059a-07-07.png,ooze
IAM_Words\f07\f07-042a\f07-042a-06-05.png,considered
IAM_Words\a01\a01-113u\a01-113u-08-05.png,benches
IAM_Words\d06\d06-020\d06-020-00-01.png,Gethsemane
IAM_Words\a04\a04-099\a04-099-00-08.png,","
IAM_Words\d01\d01-085\d01-085-03-06.png,be
IAM_Words\b04\b04-020\b04-020-00-02.png,meat
IAM_Words\n03\n03-113\n03-113-05-03.png,broke
IAM_Words\j06\j06-034\j06-034-02-02.png,active
IAM_Words\g06\g06-050e\g06-050e-03-03.png,he
IAM_Words\r02\r02-054\r02-054-04-02.png,out
IAM_Words\l04\l04-098\l04-098-01-06.png,a
IAM_Words\m04\m04-081\m04-081-03-01.png,man
IAM_Words\l04\l04-102\l04-102-06-03.png,mouldering
IAM_Words\a02\a02-046\a02-046-05-10.png,At
IAM_Words\g06\g06-042m\g06-042m-01-01.png,the
IAM_Words\a05\a05-116\a05-116-04-03.png,resembles
IAM_Words\f07\f07-046b\f07-046b-03-03.png,the
IAM_Words\a05\a05-004\a05-004-02-08.png,","
IAM_Words\g06\g06-031m\g06-031m-08-04.png,.
IAM_Words\p02\p02-069\p02-069-02-03.png,having
IAM_Words\b06\b06-075\b06-075-03-01.png,never
IAM_Words\m06\m06-031\m06-031-00-06.png,Stop
IAM_Words\m02\m02-095\m02-095-04-04.png,cultural
IAM_Words\m06\m06-076\m06-076-05-06.png,protest
IAM_Words\d04\d04-121\d04-121-05-04.png,opinion
IAM_Words\a01\a01-068u\a01-068u-03-02.png,Germany
IAM_Words\p02\p02-139\p02-139-02-08.png,father
IAM_Words\l07\l07-181\l07-181-03-02.png,meaning
IAM_Words\g06\g06-037m\g06-037m-00-01.png,grant
IAM_Words\h06\h06-079\h06-079-02-06.png,","
IAM_Words\g03\g03-058\g03-058-05-05.png,more
IAM_Words\b05\b05-038\b05-038-07-01.png,be
IAM_Words\r06\r06-070\r06-070-04-02.png,to
IAM_Words\a02\a02-111\a02-111-02-04.png,be
IAM_Words\k04\k04-028\k04-028-06-07.png,wife
IAM_Words\g06\g06-037i\g06-037i-02-02.png,express
IAM_Words\h04\h04-061\h04-061-04-05.png,and
IAM_Words\h02\h02-017\h02-017-06-01.png,so
IAM_Words\a01\a01-102u\a01-102u-03-02.png,old
IAM_Words\n04\n04-107\n04-107-00-05.png,Bath
IAM_Words\n06\n06-163\n06-163-00-05.png,overalls
IAM_Words\l04\l04-000\l04-000-02-05.png,said
IAM_Words\j01\j01-059\j01-059-00-07.png,are
IAM_Words\c03\c03-096a\c03-096a-06-03.png,of
IAM_Words\m02\m02-095\m02-095-03-07.png,repel
IAM_Words\g07\g07-030\g07-030-04-06.png,come
IAM_Words\b02\b02-045\b02-045-06-06.png,responding
IAM_Words\m04\m04-072\m04-072-07-05.png,seeing
IAM_Words\n02\n02-098\n02-098-02-09.png,regard
IAM_Words\g04\g04-003\g04-003-01-01.png,walk
IAM_Words\g07\g07-047\g07-047-08-06.png,people
IAM_Words\c03\c03-000e\c03-000e-05-02.png,and
IAM_Words\g07\g07-047\g07-047-02-02.png,with
IAM_Words\a05\a05-094\a05-094-02-09.png,""""
IAM_Words\f07\f07-028b\f07-028b-01-05.png,from
IAM_Words\m04\m04-107\m04-107-00-05.png,wanted
IAM_Words\g04\g04-098\g04-098-04-09.png,and
IAM_Words\g05\g05-098\g05-098-04-00.png,those
IAM_Words\a04\a04-099\a04-099-06-00.png,permission
IAM_Words\r03\r03-035\r03-035-00-06.png,about
IAM_Words\j01\j01-049\j01-049-03-01.png,sodium
IAM_Words\g04\g04-022\g04-022-05-02.png,choral
IAM_Words\n03\n03-106\n03-106-06-07.png,.
IAM_Words\c03\c03-000e\c03-000e-06-01.png,from
IAM_Words\h07\h07-051b\h07-051b-05-01.png,and
IAM_Words\g01\g01-070\g01-070-01-00.png,the
IAM_Words\g06\g06-011k\g06-011k-03-06.png,","
IAM_Words\e01\e01-062\e01-062-02-01.png,heavy
IAM_Words\m04\m04-164\m04-164-03-00.png,what
IAM_Words\n02\n02-000\n02-000-02-05.png,","
IAM_Words\b04\b04-010\b04-010-07-05.png,","
IAM_Words\g06\g06-018c\g06-018c-04-01.png,better
IAM_Words\a02\a02-020\a02-020-02-06.png,.
IAM_Words\m03\m03-013\m03-013-01-11.png,I
IAM_Words\r06\r06-103\r06-103-06-03.png,the
IAM_Words\g06\g06-031b\g06-031b-04-00.png,but
IAM_Words\j04\j04-008\j04-008-05-06.png,must
IAM_Words\c03\c03-081e\c03-081e-02-00.png,for
IAM_Words\a01\a01-020u\a01-020u-04-05.png,not
IAM_Words\n02\n02-016\n02-016-04-08.png,was
IAM_Words\m01\m01-090\m01-090-01-06.png,of
IAM_Words\j04\j04-012\j04-012-06-01.png,","
IAM_Words\g06\g06-047d\g06-047d-05-02.png,Neapolitan
IAM_Words\g06\g06-037j\g06-037j-08-03.png,to
IAM_Words\f07\f07-084b\f07-084b-05-02.png,is
IAM_Words\e01\e01-092\e01-092-07-05.png,ideal
IAM_Words\m04\m04-038\m04-038-02-09.png,well
IAM_Words\g06\g06-031g\g06-031g-01-09.png,really
IAM_Words\d04\d04-053\d04-053-04-09.png,course
IAM_Words\g04\g04-014\g04-014-01-07.png,my
IAM_Words\d04\d04-125\d04-125-00-12.png,four
IAM_Words\c02\c02-056\c02-056-01-01.png,his
IAM_Words\e01\e01-018\e01-018-03-00.png,fine
IAM_Words\r06\r06-121\r06-121-07-06.png,lunch
IAM_Words\c06\c06-047\c06-047-05-01.png,due
IAM_Words\j06\j06-000\j06-000-02-00.png,any
IAM_Words\b01\b01-084\b01-084-02-07.png,a
IAM_Words\e04\e04-083\e04-083-00-02.png,of
IAM_Words\m02\m02-072\m02-072-01-08.png,of
IAM_Words\m04\m04-061\m04-061-04-05.png,here
IAM_Words\k02\k02-029\k02-029-04-05.png,himself
IAM_Words\b01\b01-053\b01-053-06-03.png,solution
IAM_Words\g06\g06-042n\g06-042n-01-09.png,been
IAM_Words\g06\g06-031d\g06-031d-00-04.png,event
IAM_Words\a01\a01-072x\a01-072x-02-03.png,of
IAM_Words\a01\a01-043x\a01-043x-04-04.png,South
IAM_Words\d06\d06-011\d06-011-01-04.png,fear
IAM_Words\c03\c03-007f\c03-007f-06-02.png,the
IAM_Words\e01\e01-032\e01-032-06-05.png,give
IAM_Words\c04\c04-023\c04-023-01-01.png,on
IAM_Words\m04\m04-138\m04-138-07-00.png,hurrying
IAM_Words\a01\a01-049\a01-049-02-03.png,""""
IAM_Words\a06\a06-152\a06-152-10-00.png,"3,000"
IAM_Words\c03\c03-007d\c03-007d-07-02.png,memory
IAM_Words\n04\n04-048\n04-048-02-01.png,to
IAM_Words\b04\b04-000\b04-000-04-05.png,.
IAM_Words\m02\m02-095\m02-095-00-04.png,Aristotle
IAM_Words\h01\h01-000\h01-000-07-01.png,","
IAM_Words\a06\a06-075\a06-075-06-05.png,)
IAM_Words\j01\j01-066\j01-066-10-04.png,phase
IAM_Words\c03\c03-021b\c03-021b-05-09.png,her
IAM_Words\l03\l03-004\l03-004-08-00.png,automatic
IAM_Words\b04\b04-054\b04-054-04-06.png,Preference
IAM_Words\k02\k02-029\k02-029-00-10.png,fatigue
IAM_Words\d04\d04-066\d04-066-06-01.png,through
IAM_Words\r03\r03-030\r03-030-04-07.png,what
IAM_Words\g06\g06-031r\g06-031r-06-11.png,what
IAM_Words\e06\e06-041\e06-041-08-02.png,net
IAM_Words\h07\h07-007\h07-007-00-11.png,to
IAM_Words\e07\e07-090\e07-090-05-02.png,","
IAM_Words\k04\k04-068\k04-068-06-05.png,Doria
IAM_Words\m04\m04-123\m04-123-06-06.png,.
IAM_Words\m06\m06-031\m06-031-04-02.png,World
IAM_Words\k04\k04-000\k04-000-02-08.png,to
IAM_Words\d06\d06-011\d06-011-03-06.png,To
IAM_Words\a04\a04-081\a04-081-09-04.png,industry
IAM_Words\g03\g03-052\g03-052-08-09.png,the
IAM_Words\f07\f07-009\f07-009-07-02.png,the
IAM_Words\a01\a01-030u\a01-030u-03-05.png,negotiations
IAM_Words\r06\r06-066\r06-066-01-07.png,exercise
IAM_Words\g06\g06-042f\g06-042f-03-06.png,as
IAM_Words\f04\f04-024\f04-024-05-05.png,murder
IAM_Words\c03\c03-021f\c03-021f-04-07.png,the
IAM_Words\d06\d06-111\d06-111-05-05.png,example
IAM_Words\f04\f04-096\f04-096-01-07.png,the
IAM_Words\b01\b01-057\b01-057-00-06.png,","
IAM_Words\m04\m04-180\m04-180-01-08.png,if
IAM_Words\f07\f07-032a\f07-032a-03-07.png,the
IAM_Words\k07\k07-067a\k07-067a-01-01.png,hands
IAM_Words\b06\b06-075\b06-075-07-00.png,any
IAM_Words\d01\d01-024\d01-024-05-07.png,ingenuity
IAM_Words\m02\m02-080\m02-080-08-06.png,taken
IAM_Words\g01\g01-043\g01-043-04-00.png,the
IAM_Words\n04\n04-218\n04-218-05-07.png,visited
IAM_Words\l04\l04-071\l04-071-04-10.png,intention
IAM_Words\f02\f02-033\f02-033-00-00.png,The
IAM_Words\f07\f07-024b\f07-024b-07-01.png,a
IAM_Words\a03\a03-006\a03-006-02-02.png,.
IAM_Words\a04\a04-006\a04-006-02-03.png,if
IAM_Words\g06\g06-037i\g06-037i-08-03.png,before
IAM_Words\j01\j01-042\j01-042-02-01.png,the
IAM_Words\a02\a02-078\a02-078-00-06.png,he
IAM_Words\g07\g07-003b\g07-003b-07-08.png,would
IAM_Words\a01\a01-077u\a01-077u-07-06.png,the
IAM_Words\c04\c04-128\c04-128-06-05.png,David
IAM_Words\c03\c03-003e\c03-003e-08-03.png,of
IAM_Words\n01\n01-020\n01-020-06-02.png,peaks
IAM_Words\g06\g06-047n\g06-047n-03-01.png,earth
IAM_Words\f01\f01-075\f01-075-03-06.png,compound
IAM_Words\b01\b01-009\b01-009-03-03.png,would
IAM_Words\a06\a06-004\a06-004-07-01.png,property
IAM_Words\k01\k01-051\k01-051-03-05.png,the
IAM_Words\c03\c03-081a\c03-081a-06-04.png,","
IAM_Words\l01\l01-000\l01-000-07-05.png,out
IAM_Words\a06\a06-075\a06-075-02-03.png,would
IAM_Words\d06\d06-027\d06-027-02-01.png,knows
IAM_Words\l07\l07-065\l07-065-04-05.png,of
IAM_Words\h07\h07-063a\h07-063a-00-00.png,More
IAM_Words\f07\f07-002\f07-002-04-02.png,ago
IAM_Words\g03\g03-032\g03-032-00-02.png,were
IAM_Words\b06\b06-053\b06-053-08-02.png,the
IAM_Words\p03\p03-072\p03-072-05-03.png,","
IAM_Words\d06\d06-111\d06-111-05-08.png,your
IAM_Words\g06\g06-011r\g06-011r-03-06.png,","
IAM_Words\j04\j04-039\j04-039-01-06.png,with
IAM_Words\a03\a03-073\a03-073-05-00.png,for
IAM_Words\a06\a06-070\a06-070-03-05.png,a
IAM_Words\g07\g07-007a\g07-007a-03-02.png,AND
IAM_Words\a01\a01-053\a01-053-03-03.png,a
IAM_Words\p02\p02-144\p02-144-03-09.png,","
IAM_Words\r03\r03-026\r03-026-03-01.png,last
IAM_Words\a01\a01-014\a01-014-04-03.png,in
IAM_Words\b04\b04-010\b04-010-00-01.png,will
IAM_Words\g06\g06-018j\g06-018j-00-06.png,","
IAM_Words\d01\d01-056\d01-056-04-07.png,occurring
IAM_Words\l04\l04-005\l04-005-01-03.png,him
IAM_Words\j01\j01-042\j01-042-07-00.png,in
IAM_Words\n04\n04-130\n04-130-05-10.png,that
IAM_Words\c03\c03-021d\c03-021d-09-02.png,looking
IAM_Words\b06\b06-110\b06-110-06-01.png,who
IAM_Words\b01\b01-073\b01-073-05-06.png,its
IAM_Words\a06\a06-036\a06-036-07-01.png,a
IAM_Words\m04\m04-012\m04-012-00-10.png,much
IAM_Words\f07\f07-046b\f07-046b-03-04.png,octopus
IAM_Words\f07\f07-016\f07-016-02-02.png,peacocks
IAM_Words\a03\a03-011\a03-011-07-03.png,in
IAM_Words\r06\r06-049\r06-049-07-05.png,(
IAM_Words\n04\n04-190\n04-190-02-10.png,-
IAM_Words\f07\f07-006\f07-006-03-06.png,adventuring
IAM_Words\g03\g03-052\g03-052-07-05.png,","
IAM_Words\k07\k07-176\k07-176-04-01.png,and
IAM_Words\h04\h04-028\h04-028-02-04.png,For
IAM_Words\f07\f07-013\f07-013-00-00.png,The
IAM_Words\a05\a05-044\a05-044-01-06.png,in
IAM_Words\n06\n06-182\n06-182-04-00.png,when
IAM_Words\h07\h07-003\h07-003-09-07.png,cent
IAM_Words\e04\e04-030\e04-030-06-05.png,becomes
IAM_Words\j04\j04-061\j04-061-01-01.png,.
IAM_Words\l01\l01-187\l01-187-02-03.png,grandfather
IAM_Words\n04\n04-031\n04-031-06-02.png,the
IAM_Words\n03\n03-113\n03-113-08-02.png,be
IAM_Words\a05\a05-029\a05-029-03-02.png,.
IAM_Words\n02\n02-045\n02-045-03-06.png,by
IAM_Words\j06\j06-030\j06-030-03-01.png,in
IAM_Words\p03\p03-189\p03-189-04-01.png,.
IAM_Words\p03\p03-163\p03-163-05-01.png,Don't
IAM_Words\g06\g06-018c\g06-018c-06-06.png,I
IAM_Words\b04\b04-208\b04-208-01-07.png,worlds
IAM_Words\g04\g04-063\g04-063-09-03.png,fever
IAM_Words\h02\h02-017\h02-017-05-00.png,or
IAM_Words\g07\g07-000a\g07-000a-09-01.png,","
IAM_Words\g07\g07-022a\g07-022a-00-05.png,impressed
IAM_Words\d04\d04-131\d04-131-05-04.png,and
IAM_Words\c02\c02-000\c02-000-08-03.png,works
IAM_Words\m04\m04-007\m04-007-06-07.png,Hayball
IAM_Words\c03\c03-094a\c03-094a-06-05.png,their
IAM_Words\a01\a01-049x\a01-049x-01-06.png,a
IAM_Words\g04\g04-017\g04-017-06-00.png,performed
IAM_Words\c03\c03-007c\c03-007c-02-08.png,streets
IAM_Words\r06\r06-041\r06-041-05-07.png,documented
IAM_Words\p02\p02-101\p02-101-00-00.png,His
IAM_Words\a03\a03-027\a03-027-01-01.png,few
IAM_Words\g04\g04-081\g04-081-03-00.png,things
IAM_Words\b01\b01-033\b01-033-05-00.png,of
IAM_Words\p03\p03-173\p03-173-05-06.png,your
IAM_Words\p02\p02-109\p02-109-03-02.png,over
IAM_Words\l01\l01-050\l01-050-01-01.png,it
IAM_Words\c04\c04-035\c04-035-01-03.png,and
IAM_Words\p01\p01-147\p01-147-01-08.png,open
IAM_Words\g06\g06-018c\g06-018c-01-02.png,","
IAM_Words\r02\r02-038\r02-038-03-07.png,.
IAM_Words\g02\g02-059\g02-059-06-07.png,so
IAM_Words\c03\c03-016b\c03-016b-07-04.png,is
IAM_Words\b02\b02-097\b02-097-01-03.png,We
IAM_Words\p02\p02-115\p02-115-05-06.png,someone
IAM_Words\l03\l03-008\l03-008-07-00.png,and
IAM_Words\h05\h05-012\h05-012-03-03.png,important
IAM_Words\p02\p02-139\p02-139-02-05.png,sit
IAM_Words\p03\p03-033\p03-033-04-00.png,suppose
IAM_Words\g03\g03-052\g03-052-08-04.png,Mr.
IAM_Words\c04\c04-017\c04-017-05-05.png,for
IAM_Words\a01\a01-043u\a01-043u-06-08.png,tasks
IAM_Words\c06\c06-000\c06-000-01-05.png,","
IAM_Words\a05\a05-084\a05-084-07-01.png,Mr.
IAM_Words\k04\k04-033\k04-033-05-03.png,.
IAM_Words\k07\k07-063a\k07-063a-04-06.png,living
IAM_Words\p03\p03-047\p03-047-02-11.png,.
IAM_Words\g06\g06-031i\g06-031i-05-09.png,","
IAM_Words\e06\e06-021\e06-021-08-03.png,it
IAM_Words\h07\h07-033a\h07-033a-02-08.png,reasonable
IAM_Words\l04\l04-082\l04-082-03-02.png,begun
IAM_Words\d04\d04-037\d04-037-03-12.png,to
IAM_Words\k04\k04-079\k04-079-04-02.png,herself
IAM_Words\g03\g03-016\g03-016-04-07.png,80
IAM_Words\d04\d04-012\d04-012-04-01.png,himself
IAM_Words\f04\f04-004\f04-004-05-06.png,little
IAM_Words\d04\d04-037\d04-037-04-04.png,your
IAM_Words\p02\p02-090\p02-090-03-08.png,doesn't
IAM_Words\a01\a01-043u\a01-043u-07-00.png,be
IAM_Words\m04\m04-072\m04-072-05-08.png,even
IAM_Words\h04\h04-025\h04-025-05-08.png,97.5
IAM_Words\g01\g01-067\g01-067-02-05.png,of
IAM_Words\b03\b03-087\b03-087-05-01.png,report
IAM_Words\a06\a06-051\a06-051-03-10.png,up
IAM_Words\b04\b04-121\b04-121-02-07.png,choice
IAM_Words\g06\g06-031o\g06-031o-06-02.png,the
IAM_Words\r03\r03-056\r03-056-02-05.png,.
IAM_Words\d01\d01-080\d01-080-03-05.png,mark
IAM_Words\l04\l04-147\l04-147-04-00.png,cried
IAM_Words\n04\n04-202\n04-202-08-02.png,electric
IAM_Words\g06\g06-050g\g06-050g-05-00.png,sedate
IAM_Words\a04\a04-019\a04-019-00-00.png,It
IAM_Words\b03\b03-087\b03-087-01-05.png,this
IAM_Words\m04\m04-072\m04-072-00-06.png,to
IAM_Words\d06\d06-015\d06-015-05-01.png,.
IAM_Words\b01\b01-057\b01-057-01-01.png,by
IAM_Words\k02\k02-093\k02-093-03-07.png,pursed
IAM_Words\b06\b06-110\b06-110-05-06.png,17
IAM_Words\f04\f04-004\f04-004-04-01.png,","
IAM_Words\a05\a05-039\a05-039-07-05.png,with
IAM_Words\h02\h02-028\h02-028-05-05.png,carried
IAM_Words\a02\a02-037\a02-037-03-07.png,.
IAM_Words\g07\g07-028b\g07-028b-00-07.png,for
IAM_Words\d06\d06-060\d06-060-02-09.png,","
IAM_Words\h02\h02-049\h02-049-00-07.png,on
IAM_Words\m02\m02-069\m02-069-04-01.png,system
IAM_Words\b01\b01-113\b01-113-04-03.png,A
IAM_Words\c04\c04-080\c04-080-06-01.png,to
IAM_Words\b03\b03-025\b03-025-02-00.png,truism
IAM_Words\g03\g03-064\g03-064-00-00.png,Alf
IAM_Words\g06\g06-037g\g06-037g-05-06.png,None
IAM_Words\g06\g06-045g\g06-045g-05-04.png,the
IAM_Words\h01\h01-000\h01-000-10-01.png,on
IAM_Words\f01\f01-058\f01-058-04-06.png,Although
IAM_Words\h04\h04-000\h04-000-08-04.png,","
